date,open,high,low,close,volume
2019-12-15,0.00282198,0.00293858,0.00279673,0.0028535,61190730.0
2019-12-16,0.0028535,0.00290786,0.00276561,0.00278765,99814375.0
2019-12-17,0.00278297,0.00284749,0.00258448,0.00264099,209772941.0
2019-12-18,0.00264099,0.00278738,0.00253787,0.00273596,444442268.0
2019-12-19,0.0027437,0.00291187,0.00264726,0.00269882,91905080.0
2019-12-20,0.00270363,0.00275826,0.00266249,0.00270791,58972845.0
2019-12-21,0.00270817,0.00276173,0.0026836,0.00272487,83070907.0
2019-12-22,0.00272487,0.00278618,0.00269815,0.00277937,97517875.0
2019-12-23,0.00278471,0.00283987,0.00270831,0.00273956,187366372.0
2019-12-24,0.00273422,0.00274437,0.00267411,0.00269602,61042421.0
2019-12-25,0.00269415,0.00275038,0.00266316,0.00272487,108851438.0
2019-12-26,0.00271565,0.00274424,0.00267318,0.00270417,81831506.0
2019-12-27,0.00269441,0.00272834,0.00265822,0.00270844,145246366.0
2019-12-28,0.00270844,0.00275479,0.00270844,0.00273262,48401004.0
2019-12-29,0.00273262,0.00275279,0.00270604,0.00271539,50528679.0
2019-12-30,0.00272367,0.00274958,0.00268787,0.0027067,76749919.0
2019-12-31,0.00269682,0.00271138,0.00265301,0.00268947,131083309.0
2020-01-01,0.00268961,0.00272353,0.00267157,0.00270417,31462868.0
2020-01-02,0.00270417,0.00272487,0.00260265,0.00266489,191887309.0
2020-01-03,0.00266957,0.00271939,0.00262803,0.00270296,109005714.0
2020-01-04,0.00269615,0.00280969,0.00269148,0.00274878,123468609.0
2020-01-05,0.00275011,0.00279459,0.00271966,0.00276441,66437147.0
2020-01-06,0.00276788,0.00285109,0.00276387,0.00285096,108507039.0
2020-01-07,0.00284949,0.00291815,0.00277523,0.00290519,121470207.0
2020-01-08,0.00289678,0.00297371,0.00276507,0.00278978,205791636.0
2020-01-09,0.0027962,0.00288956,0.00275719,0.00284268,80515080.0
2020-01-10,0.00284816,0.00294179,0.00280274,0.00293498,222205607.0
